Bombardment,"

Shoemart o Robinson, Bench o Jockey
Marlboro o Winston, Adidas o Nike
Smart o Globe, Coke o Pepsi
Tide o Surf, SMB o Asia Brewery

Shakeys o Pizza Hut, McDonalds o Jollibee
Dunkin o Mister Donut, Kenny o KFC
Nissin o Lucky Me, Mentos o Maxx Candy
555 o Century, Jack n Jill o Oishi

Red Bull o Lipovitan, Nido o Alaska
Datu Puti o Silver Swan, Purefoods o Magnolia
Nestle o Selecta, Del Monte o UFC
Swift o Argentina, Bokbokbok Knorr o Maggi

Joy Ultra o Axion, Comfort o Downy
Clusivol o Enervon, Kleenex o Softee
Safeguard o Zest, Green Cross o Family
Whisper o Modess, National o Ever Ready

Raid o Baygon, Absolute o Wilkins
Colgate o Close Up, Palmolive o Pantene
Pampers o EQ, Eye Mo o Visine
8 O'Clock o Tang, Milo o Ovaltine

Star o Inquirer, Kodak o Fuji
Metrobank o BPI, Samsung o Sony
Yamaha o Kawasaki, Caltex o Shell
Toyota o Mitsubishi, PLDT o Bayantel

ABS-CBN o GMA 7
ABS-CBN o GMA 7
ABS-CBN o GMA 7
ABS-CBN o GMA 7

Charo o Mel Tiangco, Bayani o Michael V
Eat Bulaga o Wowowee, MYX o MTV
Martin o Gary V., Christina o Britney
Ate Guy o Ate Vi, Viva o Mother Lily

Gloria o FPJ, Marcos o Cory
Bush o Bin Laden, NPA o AFP
Iglesia o Katoliko, La Salle o Ateneo
Tagalog o Cebuano, English o Filipino

ABS-CBN o GMA 7
ABS-CBN o GMA 7
ABS-CBN o GMA 7
ABS-CBN o GMA 7

Original o Pirated
",Dong Abay
Ay Buhay,"

Tambay sa tulay
Ang matandang pilay
Akbay ang saklay
Mata'y matamlay
Ay buhay

Ngalay na ngalay
Kanyang kanang kamay
Panay ang antay
Grasyang ibigay ay buhay

Ay buhay siya'y parang isang lantang gulay
Walang humpay sa hanapbuhay
Ang lagay matirang matibay
Ang lagay matirang matibay ay buhay

Laway at kaway
Awa ang taglay
Sanay magpatangay
Ang nanlulupaypay
Ay buhay

Sabay ang sakay
Sa sanlaksang ingay
Lantay na lumbay
Latay sa malay
Ay buhay

Ay buhay siya'y parang isang lantang gulay
Walang humpay sa hanapbuhay
Ang lagay matirang matibay
Ang lagay matirang matibay ay buhay

Ay buhay siya'y parang isang lantang gulay
Walang humpay sa hanapbuhay
Ang lagay matirang matibay
Ang lagay matirang matibay ay buhay
",Dong Abay
Segundo,"

Kung sa isang iglap, makalimutan ng Diyos
Na ako ay isang manikang basahan
At kanyang pagkalooban ng kapirasong buhay

Hindi ko sasabihin, lahat ng iniisip
Sa halip ay iisipin, lahat ng sasabihin

Itatangi ko ang bawat bagay bagay
Hindi dahil lamang sa kahalagahan nito
Kundi sa kung ano ang kahulugang totoo
Ako'y matutulog nang kaunti at mas mananaginip
Mauunawaan na sa bawat minutong pagpikit

Nawawalan tayo ng animnapung segundo ng liwanag
Liwanag
Liwanag
Liwanag

Maglalakad ako kung ang iba ay ayaw humakbang
Mananatiling gising kung ang iba ay maidlip
Makikinig ako kung may magsasalita
Kung ako ay may puso, isusulat ko ang poot sa yelo
At maghihintay sa pagsikat ng araw

Ang aking luha ang didilig sa rosas
Sa kanyang imik dadamhin ko ang kirot
At ang pulang halik ng kanyang talulot

Ipababatid sa lahat ng minamahal
Na minamahal ko silang lahat

Mabubuhay ako nang nagmamahal sa pag-ibig
Pag-ibig
Pag-ibig
Pag-ibig

Marami akong natutunan mula sa mga nilalang
Ngunit ang katotohanan, wala itong pakinabang
Kahit pa ingatan ko, sa loob ng maletang ito
Malungkot ko pa ring lilisanin ang mundo
",Dong Abay
Solb,"

Ngayong gabi
Siya ang may ari ng syudad
Tulad ng dati
Parang hari kung maglakad
Nakapikit
Ikot pa ang lagalag
Umaawit
Sisinghot ang batang banaag

High na high sa highway
Solb na solb sa solvent

High na high
Solb na solb
Sa highway
Sa solvent

Nag iisa
Napaupo sa bangketa
Tumatawa
Dinuduro ang estatwa
Nagbibilang
Ng sasakyang nagdadaan
Nag-aabang
Kung ano ang wala naman

High na high sa highway
Solb na solb sa solvent

High na high
Solb na solb
Sa highway
Sa solvent

Naghahanap
Ng pagkain sa basura
Ang masarap
Sa paninging tira-tira

Nakahiga
At binabalot ng sakong sira
Batang gala
Plastic na supot ang dala
",Dong Abay
WWIII,"

Bukas ba paggising ko tahimik na?
Walang gulo?
Walang gulo?

Kung kailan ang linaw ko ang labo mo
Ang labo mo naman, mundo
Ang labo mo naman, mundo

Walang tigil, walang tigil
Walang tigil, walang tigil, walang tigil, walang tigil
Gyera!
Sunud-sunod, sunud-sunod
Sunud-sunod, sunud-sunod, sunud-sunod, sunud-sunod
Gyera!

Bukas ba paggising ko tahimik na?
Walang gulo?
Walang gulo?

Kung kailan ang linaw ko ang labo mo
Ang labo mo naman, mundo
Ang labo mo naman, mundo

Walang hinto, walang hinto
Walang hinto, walang hinto, walang hinto, walang hinto
Gyera!
Tuluy-tuloy, tuluy-tuloy
Tuluy-tuloy, tuluy-tuloy, tuluy-tuloy, tuluy-tuloy
Gyera!

Bukas ba paggising ko tahimik na?
Walang gulo?
Walang gulo?

Kung kailan ang linaw ko ang labo mo
Ang labo mo naman, mundo
Ang labo mo naman, mundo

'Di pa tapos, 'di pa tapos
'Di pa tapos, 'di pa tapos, 'di pa tapos, 'di pa tapos
Gyera!
Walang yawa, walang yawa
Walang yawa, walang yawa, walang yawa, walang yawa
Gyera!

Bukas ba paggising ko tahimik na?
Walang gulo?
Walang gulo?
Kung kailan ang linaw ko ang labo mo
Ang labo mo naman, mundo
Ang labo mo naman, mundo

Bukas ba paggising ko tahimik na?
Walang gulo?
",Dong Abay
Song,Lyrics,Singer
Kumpas,"

Tumatalon ang puso ko
Susunod nalang sa'yo
Wag mawala, bilangin ko
Anim, tatlong sampu't tatlo

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo nag umpisa
Alingawngaw, dinggin ko na

Pakinggan ang mga yapak
Magtatagpo pag naghanap
Kahit saan man mapadpad
Mahahanap din sa iyong palad

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo nag umpisa
Alingawngaw, dinggin ko na

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo nag umpisa
Alingawngaw, dinggin ko na

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo
Noon pa ma'y sumisigaw
Dinggin, dinggin ko na
",Barbie Almalbis
Peace Where We Go,"

Lay down a while
The sky could be falling
Lay it down a while
'Cause soon comes the morning

Your mind has a tongue and your tongue is a gun
That can cause a great big fire
Your heart is a child being trained in the wild
'Til you know your true desire

Count all your mornings
But don't heed every warning
Come on, let's take shelter
In the arms of our brother

Your mind has a tongue and your tongue is a gun
That can cause a great big fire
Your heart is a child being trained in the wild
'Til you know your true desire

Lay your load on me
Peace where do you go
Lay your load on me
Peace where do you go

Lay your load on me
Peace where do you go
Lay your load on me
Peace where do you go

Lay your load on me
Peace where do we go
Lay your load on me
Peace where do we go

Peace where do we go
Peace where do we go
Peace where do we go
Peace where do we go
",Barbie Almalbis
Days Are Long,"

Twenty-three you knew you've seen this from before
Quiet and confused always breaking through the door
Thought the world was easy, all the places to go
And you sleep soundly when you don't know

One day you wake up and the colors aren't the same
You laugh and cry and pray just to get back in the game
When the world was easy, all the places to go
And you sleep soundly when you don't know

Days are long, but years they fly
You set your heart where you fix your eyes
So let me fix my eyes on you...

When my time is done, and all the songs have been sung
You'll always be the name on the tip of my tongue
And the world was easy, all the places to go
And you sleep soundly when it's time to go

Days are long, but years they fly
You set your heart where you fix your eyes
Days are long, but years they fly
You set your heart where you fix your eyes
Oh, let me fix my eyes on you...
",Barbie Almalbis
An Aspin,"

I know you need somebody
To be there by your side
You know I'm always ready
To do what makes you smile

Don't go looking elsewhere
For someone prettier than me
Are they brighter, stronger, sweeter?
Look into my eyes, you'll see

Why can't it be me?
Why can't I be your best buddy?
The places we could see
Hand on my head
Choose me instead
I've so much love to give, you'll see

I don't need fancy dresses
Or shoes for my little feet
No need for pedigree or papers
To show you what you mean to me

I'll be always faithful
If you choose to take me home
Look beyond what's on the outside
You know I'll live for you alone

Why can't it be me?
Why can't I be your best buddy?
The places we could see
Hand on my head
Choose me instead
I've so much love to give, you'll see

I dream of a day when I'm old and gray
When I can't run so far anymore
But there you'd be as you promised me
Yours will be the last face I'll see
'Cause yes it could be me

Oh, can I be your best buddy?
The places we could see
Hand on my head
Choose me instead
I've so much love to give, you'll see
",Barbie Almalbis
Iyong-Iyo,"

Sabado ako'y naghihintay
Isang litrong buhay
Na pulang pula
Sa iyo aking mga paa
Na di na kayang pumunta
Itakbo mo nalang ako

Saan ka pupunta
Nag-iisa lang ba ako
Naririnig mo ba'ng
Mga salitang nagmumula sa labi ko

Sakto sa huling paghinga
Ang di inakalang pagtatagpo
Nakita sa iyong mga mata
Ang aking muhka
Dahil sa lapit mo

Narinig kita
Di nawala ang boses mo
Di pinagkaila
Mga salitang
Nagmumula sa labi mo

Sabado noong akoy naghihintay
Binalik mo ang aking buhay
Na iyong-iyo
",Barbie Almalbis
Comment,"

Isang milyong likes
Isang milyong smiles
Isang milyong love
Sumusunod sayo

Isang milyong hearts
Lahat tumitibok
Dalawang milyong eyes
Nakatingin sayo

Nakita mo ba ang pinost ko
Bagong dilig kong mga halaman
Tinag pa kita para makita mo
Para makita mo

Pasmadong kamay
Ngawit na ngiti
Hingal na puso
Kaka-follow sa iyo

Nakita mo ba ang pinost ko
Namumulaklak kong mga halaman
Tinag ka ulit para makita mo
Para makita mo

Isa lang naman
Ang magpapangiti
Ang iyong matamis
Na comment
",Barbie Almalbis
Umagang Kay Ganda,"

Halika na pumikit limutin ang problema
Hihintayin ang umaga
Magpahinga, panaginip ang ikaliligaya
Darating din ang umaga

Basta't tayo'y magkasama
Laging mayro'ng umagang kay ganda
Pagsikat ng araw
May dalang liwanag
Sa ating pangarap, ooh...
Haharapin natin (haharapin natin)

Gumising na
Araw ng pag-asa'y narito na
Dumating din, harapin natin

Basta't tayo'y magkasama
Laging mayro'ng umagang kay ganda
Pagsikat ng araw
May dalang liwanag
Sa ating pangarap, ooh
Haharapin natin (haharapin natin)
Oooh haharapin nation oohh

Basta't tayo'y magkasama
Laging mayro'ng umagang kay ganda
Pagsikat ng araw
May dalang liwanag
Sa ating pangarap, ooh
Haharapin natin (haharapin natin)
",Barbie Almalbis
Silaw,"

Nakagapos sa dilim
Tila kulang sa liwanag
Takot, nakapikit
Palipasin ang pag-ikot
Sa paglalim ng gabi
May nakitang maliwanag
At sa'yong pansin
Naaninagan ang may tawag

Sa'yo ako'y nasisilaw
Nasisilaw sa paglapit mo
Ngayon ay di itatago
Mananatili sayo
Walang takot sa pag-ibig mo

Nais mong hingin
Mga luha, mga lihim
Kuniha mo sa'kin
Ang bigat ng sinumpaan

Sa'yo ako'y nasisilaw
Nasisilaw sa paglapit mo
Ngayon ay di itatago
Mananatili sayo
Walang takot sa pag-ibig mo

Lahat binubuo
Lahat napupuno
Nang umagos sa mundo
Ang pag-ibig mo

Sa'yo ako'y nasisilaw
Nasisilaw sa paglapit mo
Ngayon ay di itatago
Mananatili sayo
Walang takot sa pag-ibig mo
",Barbie Almalbis
Cover (Acoustic Version),"

On the open coast
Staring out in wonder
I never would've known
We would find each other

Driving down the same road all these years
And living in the same cloud
My head in a whirl wasting all those hours
Yet here you are now
Here you are now

When I was cold you were my cover
You let me inside your heart
And I will go with you forever
Let nothing keep us apart
'Cause He built this right from the start

Ordinary day
Back in Pixie Hollow
I never could've known
But where you lead I will follow

Driving down the long road all these years
Molded by the same fire
My heart in His hands waiting all those hours
Yet here we are now
Here we are now

When I was cold you were my cover
You let me inside your heart
And I will go with you forever
Let nothing keep us apart
'Cause He built this right from the start

This legendary day
Looking up in wonder

When I was cold you were my cover
You let me inside your heart
And I will go with you forever
Let nothing keep us apart

When I was cold you were my cover
You let me inside your heart
And I will go with you forever
Let nothing keep us apart
'Cause He built this right from the start
",Barbie Almalbis
Tiger,"

Inaantok nalilito
Pinagmamasdan ang kawalan
Naghahabol nagugutom
Naghananap kung saan saan

Inaantok nalilito
Pinagmamasdan ang kawalan
Kung makatingin, nanlilisik
Nakikipag titigan

Gusto kitang tawagin
'Wag mo naman akong awayin
Gusto kitang tawagin
Lagi kitang hahanapin

Umiiyak sa isang tabi
Naghahanap ng kayakap
Nagmumukmok sa isang sulok
Naglalagas puting buhok

Inaantok nalilito
Pinagmamasdan ang kawalan
Kung makatingin, nanlilisik
Nakikipag titigan

Gusto kitang tawagin
'Wag mo naman akong awayin
Gusto kitang tawagin
Lagi kitang hahanapin

Nangangalmot, naliligo
Ang bango bango ng pusa ko
",Barbie Almalbis
Tabing Ilog,"

Sa ilog, ang mundo'y tahimik
Ako'y nakikinig sa awit ng hangin
Habang kayo'y hinihintay
Na sana'y dumating bago magdilim
Sa t'wina'y kandungan niyo ang duyan
Panaginip na walang katapusan
Ang ilog, hantungan niya'y pangako
Ng inyong pagbabalik

Ngiting kasama ng hangin
Luhang daloy ng tubig
Sa ilog na 'di naglilihim

Sa ilog, ang mundo'y may himig
'Di sana magpalit ang awit ng hangin
Habang kayo'y hinihintay
Mata'y may ngiti, puso'y nananabik
Sa t'wina'y kandungan niyo ang duyan
Panaginip na walang katapusan
Ang ilog, hantungan niya'y pangako
Ng inyong pagbabalik

Ngiting kasama ng hangin
Luhang daloy ng tubig
Sa ilog na 'di naglilihim
",Barbie Almalbis
The Dance,"

Would you be interested in dancing with me
And maybe tell me all your dreams
Talk to me like you would in your sleep
Don't censor anything
'Cause I want to hear everything
There's no innocence left to spoil
You can swear she's not a little boy
We'll fly tonight so far away
Where they will never find us
Use your wings and I will run fast
'Cause that's what I do when I'm not afraid
We've got it made up in our heads
We don't have to wait for anyone or anything
Go anywhere we desire

So close your eyes become blind
From the world listen instead to the girl
She'll tell you why she chose to fly
And you're left behind
Just like me alone and free

We can smile when we've filled the void
And treated the burn
But until then I believe
We're gonna have to learn
To discard any disguise we're using
Yes it's hard and it's never amusing

So close your eyes become blind
From the world listen instead to the girl
She'll tell you why she chose to fly
And you're left behind
Just like me alone and free
Alone and free
Alone and free
Alone and free
Alone and free
",Barbie Almalbis
Just A Smile,"

I wanna tell you everything
Vis-a-vis
Won't you come up closer
I want to hear you breathe
I'm walking down this street
I'm lost at sea
Out of the crowd you smile and
You're all I see

You make me feel like I
Can get lost inside your eyes
I feel closer to the sky
When you save the day with just a smile
Just a smile

I wanna meet you someday soon
'Cause I know you in my mind
Everything will be different
When I have you right beside
We can take the whole wide world
With your boyish charm
And even as you pull me close
I want to stay in your arms

You make me feel like I
Can get lost inside your eyes
I feel closer to the sky
When you save the day with just a smile

Well I looked for you in everyone
I thought I'd search the world in vain
Now you look at me and the search is done
We will never be the same, not the same

Oh you make me feel like I
Can get lost inside your eyes
I feel closer to the sky
When you save the day with just a smile

Oh you make me feel like I
Can get lost inside your eyes
I feel closer to the sky
When you save the day with just a smile
Just a smile, a smile
Just a smile
",Barbie Almalbis
Kumpas,"

Tumatalon ang puso ko
Susunod nalang sa'yo
Wag mawala, bilangin ko
Anim, tatlong sampu't tatlo

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo nag umpisa
Alingawngaw, dinggin ko na

Pakinggan ang mga yapak
Magtatagpo pag naghanap
Kahit saan man mapadpad
Mahahanap din sa iyong palad

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo nag umpisa
Alingawngaw, dinggin ko na

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo nag umpisa
Alingawngaw, dinggin ko na

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo
Noon pa ma'y sumisigaw
Dinggin, dinggin ko na
",Barbie Almalbis
